Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
01/01/2010 7:00,0.23,0.22,3.44,2.92
02/01/2010 7:00,0.18,0.17,3.78,3.04
03/01/2010 7:00,0.21,0.22,3.82,3.18
04/01/2010 7:00,0.21,0.22,3.40,2.97
05/01/2010 7:00,0.23,0.23,3.70,2.70
06/01/2010 7:00,0.20,0.22,4.07,2.91
07/01/2010 7:00,0.21,0.22,4.44,3.12
08/01/2010 7:00,0.23,0.25,3.23,2.99
09/01/2010 7:00,0.14,0.15,2.79,
10/01/2010 7:00,0.19,0.19,3.68,2.82
11/01/2010 7:00,0.22,0.23,4.26,3.05
12/01/2010 7:00,0.23,0.24,3.70,3.14
13/01/2010 7:00,0.21,0.24,3.68,
14/01/2010 7:00,0.22,0.25,4.29,
15/01/2010 7:00,0.22,0.24,3.29,3.33
16/01/2010 7:00,0.15,0.16,4.33,4.66
17/01/2010 7:00,0.23,0.23,3.86,3.77
18/01/2010 7:00,0.22,0.22,3.38,3.63
19/01/2010 7:00,0.21,0.19,3.30,3.26
20/01/2010 7:00,0.22,0.19,3.20,3.30
21/01/2010 7:00,0.18,0.22,4.44,2.58
22/01/2010 7:00,0.26,0.22,3.76,2.89
23/01/2010 7:00,0.16,0.17,4.36,3.56
24/01/2010 7:00,0.24,0.22,3.47,3.31
25/01/2010 7:00,0.24,0.23,3.55,3.18
26/01/2010 7:00,0.23,0.20,3.71,4.21
27/01/2010 7:00,0.25,0.24,3.40,2.85
28/01/2010 7:00,0.26,0.24,3.26,2.96
29/01/2010 7:00,0.25,0.24,3.33,2.70
30/01/2010 7:00,0.22,0.18,7.24,3.33
31/01/2010 7:00,0.27,0.21,4.02,3.66
01/02/2010 7:00,0.27,0.22,4.06,3.33
02/02/2010 7:00,0.24,0.26,4.03,3.65
03/02/2010 7:00,0.17,0.26,2.80,4.17
04/02/2010 7:00,0.22,0.27,3.52,6.29
05/02/2010 7:00,0.24,0.26,3.04,4.89
06/02/2010 7:00,0.20,0.20,2.86,4.03
07/02/2010 7:00,0.21,0.19,4.33,4.64
08/02/2010 7:00,0.23,0.22,6.58,3.69
09/02/2010 7:00,0.20,0.20,4.10,4.04
10/02/2010 7:00,0.19,0.22,3.76,4.36
11/02/2010 7:00,0.19,0.27,3.14,4.70
12/02/2010 7:00,0.20,0.29,2.60,3.20
13/02/2010 7:00,0.15,0.19,3.07,4.01
14/02/2010 7:00,0.21,0.26,3.32,3.83
15/02/2010 7:00,0.22,0.24,3.34,4.28
16/02/2010 7:00,0.23,0.25,3.42,3.49
17/02/2010 7:00,0.23,0.24,2.68,3.36
18/02/2010 7:00,0.22,0.22,3.59,3.78
19/02/2010 7:00,0.25,0.24,2.64,3.58
20/02/2010 7:00,0.19,0.18,2.75,2.89
21/02/2010 7:00,0.15,0.24,7.26,2.49
22/02/2010 7:00,0.24,0.22,4.26,2.62
23/02/2010 7:00,0.18,0.17,3.77,3.33
24/02/2010 7:00,0.22,0.22,3.33,3.42
25/02/2010 7:00,0.19,0.20,2.77,2.43
26/02/2010 7:00,,,2.87,2.24
27/02/2010 7:00,,,3.42,2.79
28/02/2010 7:00,,,3.13,2.33
01/03/2010 7:00,0.25,0.20,3.51,2.55
02/03/2010 7:00,0.29,0.23,3.72,2.66
03/03/2010 7:00,0.28,0.21,3.73,2.56
04/03/2010 7:00,0.26,0.20,4.44,3.01
05/03/2010 7:00,0.25,0.23,4.47,2.94
06/03/2010 7:00,0.21,0.20,4.07,2.84
07/03/2010 7:00,0.24,0.23,4.82,2.64
08/03/2010 7:00,0.20,0.21,4.06,2.74
09/03/2010 7:00,0.21,0.23,4.28,2.73
10/03/2010 7:00,0.23,0.22,3.10,2.76
11/03/2010 7:00,0.22,0.21,3.51,3.62
12/03/2010 7:00,0.22,0.23,2.94,3.14
13/03/2010 7:00,0.14,0.13,3.16,3.25
14/03/2010 7:00,0.28,0.25,4.55,2.89
15/03/2010 7:00,0.27,0.24,3.00,2.77
16/03/2010 7:00,0.27,0.23,3.22,2.47
17/03/2010 7:00,0.24,0.21,3.46,2.40
18/03/2010 7:00,0.27,0.21,3.17,2.44
19/03/2010 7:00,0.29,0.26,2.50,2.92
20/03/2010 7:00,0.22,0.17,3.10,3.19
21/03/2010 7:00,0.31,0.26,3.99,3.06
22/03/2010 7:00,0.31,0.26,3.89,3.64
23/03/2010 7:00,0.34,0.27,3.21,3.20
24/03/2010 7:00,0.28,0.24,3.20,2.70
25/03/2010 7:00,,,3.04,2.82
26/03/2010 7:00,,,3.06,2.89
27/03/2010 7:00,0.20,0.18,2.82,2.85
28/03/2010 7:00,,,2.38,2.70
29/03/2010 7:00,,,2.89,2.39
30/03/2010 7:00,0.20,0.17,3.89,
31/03/2010 7:00,0.22,0.20,3.72,2.67
01/04/2010 7:00,,,3.21,1.31
02/04/2010 7:00,,,2.99,3.09
03/04/2010 7:00,0.18,0.15,3.55,
04/04/2010 7:00,,,3.16,3.85
05/04/2010 7:00,0.21,0.19,3.79,3.18
06/04/2010 7:00,0.27,0.23,3.24,2.48
07/04/2010 7:00,0.26,0.24,,4.43
08/04/2010 7:00,0.26,0.23,3.15,3.74
09/04/2010 7:00,0.28,0.23,3.44,2.95
10/04/2010 7:00,0.16,0.14,3.91,4.47
11/04/2010 7:00,0.29,0.24,2.09,2.82
12/04/2010 7:00,0.24,0.21,3.55,2.42
13/04/2010 7:00,0.23,0.23,2.44,3.06
14/04/2010 7:00,0.22,0.19,2.51,2.29
15/04/2010 7:00,0.25,0.23,3.32,2.83
16/04/2010 7:00,0.23,0.22,2.48,2.66
17/04/2010 7:00,0.17,0.15,2.70,2.63
18/04/2010 7:00,0.23,0.21,2.85,2.15
19/04/2010 7:00,0.22,0.20,2.91,2.47
20/04/2010 7:00,0.17,0.17,3.53,3.27
21/04/2010 7:00,0.27,0.25,2.57,2.86
22/04/2010 7:00,0.26,0.22,2.90,2.58
23/04/2010 7:00,0.26,0.25,2.62,2.48
24/04/2010 7:00,0.14,0.12,3.33,3.28
25/04/2010 7:00,0.27,0.22,3.24,2.68
26/04/2010 7:00,0.24,0.23,2.99,2.48
27/04/2010 7:00,0.28,0.26,3.14,2.50
28/04/2010 7:00,0.26,0.25,2.96,2.31
29/04/2010 7:00,0.29,0.25,2.65,2.68
30/04/2010 7:00,0.25,0.23,2.62,2.81
01/05/2010 7:00,0.19,0.15,3.53,3.39
02/05/2010 7:00,0.23,0.20,3.26,2.95
03/05/2010 7:00,0.25,0.22,3.02,2.88
