,date,Settling_velocity,SVI,SV_label,SVI_label
0,2018-01-01,2.66,204.81927710843374,reasonable,bad
1,2018-01-02,3.23,179.02813299232736,good,reasonable
2,2018-01-03,2.96,179.85611510791367,reasonable,reasonable
3,2018-01-04,3.06,185.8108108108108,good,reasonable
4,2018-01-05,2.34,174.54954954954954,bad,reasonable
5,2018-01-06,3.57,144.67592592592592,good,good
6,2018-01-07,3.4,118.48341232227489,good,good
7,2018-01-08,2.99,129.66804979253112,reasonable,good
8,2018-01-09,3.01,138.31967213114754,good,good
9,2018-01-10,2.89,134.35700575815738,reasonable,good
10,2018-01-11,2.67,148.46743295019158,reasonable,good
11,2018-01-12,2.31,142.7255985267035,bad,good
12,2018-01-13,2.87,184.26294820717132,reasonable,reasonable
13,2018-01-14,2.69,169.05737704918033,reasonable,reasonable
14,2018-01-15,2.29,165.71969696969697,bad,reasonable
15,2018-01-16,1.86,181.56424581005587,bad,reasonable
16,2018-01-17,1.47,234.375,bad,bad
17,2018-01-18,1.94,227.27272727272728,bad,bad
18,2018-01-19,1.86,223.49272349272348,bad,bad
19,2018-01-20,3.0,175.98343685300208,reasonable,reasonable
20,2018-01-21,1.77,227.27272727272728,bad,bad
21,2018-01-22,1.61,307.6171875,bad,bad
22,2018-01-23,1.86,227.7327935222672,bad,bad
23,2018-01-24,1.56,279.4117647058824,bad,bad
24,2018-01-25,2.46,237.85425101214574,bad,bad
25,2018-01-26,2.36,301.2684989429176,bad,bad
26,2018-01-27,1.89,213.67521367521368,bad,bad
27,2018-01-28,1.4,226.8976897689769,bad,bad
28,2018-01-29,1.31,231.02310231023102,bad,bad
29,2018-01-30,2.36,161.59695817490496,bad,reasonable
30,2018-01-31,2.01,170.35775127768312,bad,reasonable
31,2018-02-01,2.53,161.76470588235293,reasonable,reasonable
32,2018-02-02,2.67,120.1923076923077,reasonable,good
33,2018-02-03,2.6,175.6198347107438,reasonable,reasonable
34,2018-02-04,2.81,138.6138613861386,reasonable,good
35,2018-02-05,3.24,125.25050100200401,good,good
36,2018-02-06,2.57,149.53271028037383,reasonable,good
37,2018-02-07,3.01,121.12403100775194,good,good
38,2018-02-08,2.86,135.13513513513513,reasonable,good
39,2018-02-09,2.97,142.69406392694063,reasonable,good
40,2018-02-10,2.6,142.04545454545453,reasonable,good
41,2018-02-11,2.11,196.46365422396858,bad,bad
42,2018-02-12,1.99,196.57258064516128,bad,bad
43,2018-02-13,3.06,173.33333333333334,good,reasonable
44,2018-02-14,2.44,172.24409448818898,bad,reasonable
45,2018-02-15,2.57,161.6161616161616,reasonable,reasonable
46,2018-02-16,2.1,210.33653846153845,bad,bad
47,2018-02-17,2.57,159.9147121535181,reasonable,good
48,2018-02-18,2.7,175.6198347107438,reasonable,reasonable
49,2018-02-19,2.19,197.1326164874552,bad,bad
50,2018-02-20,1.23,176.33228840125392,bad,reasonable
51,2018-02-21,2.47,177.91970802919707,bad,reasonable
52,2018-02-22,2.54,178.57142857142858,reasonable,reasonable
53,2018-02-23,2.41,213.52313167259786,bad,bad
54,2018-02-24,2.84,181.64435946462714,reasonable,reasonable
55,2018-02-25,2.57,201.5355086372361,reasonable,bad
56,2018-02-26,1.96,231.95876288659792,bad,bad
57,2018-02-27,2.39,186.8131868131868,bad,reasonable
58,2018-02-28,2.19,167.84452296819788,bad,reasonable
59,2018-03-01,1.17,250.8650519031142,bad,bad
60,2018-03-02,2.16,227.68670309653916,bad,bad
61,2018-03-03,1.36,183.65817091454272,bad,reasonable
62,2018-03-04,1.53,229.23875432525952,bad,bad
63,2018-03-05,1.37,204.32692307692307,bad,bad
64,2018-03-06,2.1,235.8490566037736,bad,bad
65,2018-03-07,2.61,151.0989010989011,reasonable,good
66,2018-03-08,2.44,193.6936936936937,bad,bad
67,2018-03-09,2.63,178.89087656529517,reasonable,reasonable
68,2018-03-10,1.87,185.78352180936994,bad,reasonable
69,2018-03-11,2.64,164.09266409266408,reasonable,reasonable
70,2018-03-12,2.66,141.09347442680777,reasonable,good
71,2018-03-13,2.74,147.05882352941177,reasonable,good
72,2018-03-14,3.41,129.5045045045045,good,good
73,2018-03-15,3.46,158.73015873015873,good,good
74,2018-03-16,3.6,121.24711316397229,good,good
75,2018-03-17,3.23,125.25050100200401,good,good
76,2018-03-18,3.1,138.60369609856264,good,good
77,2018-03-19,3.17,138.00424628450105,good,good
78,2018-03-20,3.57,136.986301369863,good,good
79,2018-03-21,3.285,142.64569305781288,good,good
80,2018-03-22,3.0,148.3050847457627,reasonable,good
81,2018-03-23,3.13,141.24293785310735,good,good
82,2018-03-24,3.5,140.0,good,good
83,2018-03-25,2.69,152.0912547528517,reasonable,good
84,2018-03-26,2.29,202.9520295202952,bad,bad
85,2018-03-27,2.57,169.20473773265653,reasonable,reasonable
86,2018-03-28,1.97,217.3913043478261,bad,bad
