Date,temperature - A,temperature - B
01/01/2010 0:00,22.32,21.74
02/01/2010 0:00,22.21,21.76
03/01/2010 0:00,21.99,21.49
04/01/2010 0:00,22.05,21.58
05/01/2010 0:00,22.08,21.7
06/01/2010 0:00,21.94,21.52
07/01/2010 0:00,21.87,21.44
08/01/2010 0:00,21.88,21.48
09/01/2010 0:00,21.74,21.35
10/01/2010 0:00,21.47,21.05
11/01/2010 0:00,21.51,21.13
12/01/2010 0:00,21.89,21.44
13/01/2010 0:00,21.82,21.37
14/01/2010 0:00,21.54,21.19
15/01/2010 0:00,21.31,21.08
16/01/2010 0:00,21.38,21.22
17/01/2010 0:00,21.46,21.12
18/01/2010 0:00,21.99,21.48
19/01/2010 0:00,21.22,20.76
20/01/2010 0:00,21.25,20.99
21/01/2010 0:00,20.88,20.54
22/01/2010 0:00,20.63,20.35
23/01/2010 0:00,21.38,20.9
24/01/2010 0:00,21.25,20.86
25/01/2010 0:00,20.65,20.05
26/01/2010 0:00,20.31,19.93
27/01/2010 0:00,20.28,20.12
28/01/2010 0:00,20.15,19.91
29/01/2010 0:00,20.56,20.12
30/01/2010 0:00,20.93,20.4
31/01/2010 0:00,21.23,20.82
01/02/2010 0:00,21.26,21.03
02/02/2010 0:00,21.22,20.93
03/02/2010 0:00,20.92,20.55
04/02/2010 0:00,20.22,19.93
05/02/2010 0:00,19.69,19.41
06/02/2010 0:00,19.36,19.14
07/02/2010 0:00,19.18,18.9
08/02/2010 0:00,19.6,19.18
09/02/2010 0:00,20.39,19.83
10/02/2010 0:00,21.14,20.54
11/02/2010 0:00,21.68,20.85
12/02/2010 0:00,21.89,21.23
13/02/2010 0:00,21.98,21.31
14/02/2010 0:00,21.97,21.3
15/02/2010 0:00,22.78,22.29
16/02/2010 0:00,23.1,22.6
17/02/2010 0:00,23.26,22.77
18/02/2010 0:00,23.18,22.58
19/02/2010 0:00,23.28,22.71
20/02/2010 0:00,22.77,22.42
21/02/2010 0:00,22.48,22.11
22/02/2010 0:00,22.63,22.16
23/02/2010 0:00,22.34,22.04
24/02/2010 0:00,22.22,21.88
25/02/2010 0:00,21.86,21.54
26/02/2010 0:00,20.34,19.73
27/02/2010 0:00,20.18,19.73
28/02/2010 0:00,20.23,19.74
01/03/2010 0:00,20.41,19.93
02/03/2010 0:00,21.47,21.07
03/03/2010 0:00,21.96,21.54
04/03/2010 0:00,22.17,21.7
05/03/2010 0:00,22.25,21.71
06/03/2010 0:00,22.51,22.12
07/03/2010 0:00,22.32,22.02
08/03/2010 0:00,22.78,22.43
09/03/2010 0:00,23.35,22.82
10/03/2010 0:00,,
11/03/2010 0:00,,
12/03/2010 0:00,,
13/03/2010 0:00,,
14/03/2010 0:00,24.08,23.4
15/03/2010 0:00,24.31,23.78
16/03/2010 0:00,23.69,23.18
17/03/2010 0:00,22.94,22.61
18/03/2010 0:00,22.51,22.13
19/03/2010 0:00,22.1,21.8
20/03/2010 0:00,21.71,21.52
21/03/2010 0:00,21.5,21.21
22/03/2010 0:00,21.83,21.55
23/03/2010 0:00,22.32,22.03
24/03/2010 0:00,23.09,22.79
25/03/2010 0:00,23.62,23.2
26/03/2010 0:00,23.14,22.79
27/03/2010 0:00,22.83,22.48
28/03/2010 0:00,22.78,22.43
29/03/2010 0:00,23.13,22.84
30/03/2010 0:00,23.23,22.98
31/03/2010 0:00,22.57,22.48
01/04/2010 0:00,22.58,22.34
02/04/2010 0:00,22.83,22.57
03/04/2010 0:00,23.29,23.01
04/04/2010 0:00,23.81,23.42
05/04/2010 0:00,23.96,23.49
06/04/2010 0:00,24.04,23.64
07/04/2010 0:00,23.97,23.48
08/04/2010 0:00,23.63,23.23
09/04/2010 0:00,23.55,23.03
10/04/2010 0:00,23.56,23.09
11/04/2010 0:00,23.71,23.12
12/04/2010 0:00,23.99,23.37
13/04/2010 0:00,23.75,23.1
14/04/2010 0:00,23.85,23.25
15/04/2010 0:00,23.92,23.36
16/04/2010 0:00,24.22,23.69
17/04/2010 0:00,24.72,24.15
18/04/2010 0:00,24.36,23.89
19/04/2010 0:00,24.46,23.95
20/04/2010 0:00,24.65,24.13
21/04/2010 0:00,25.22,24.62
22/04/2010 0:00,24.78,24.18
23/04/2010 0:00,24.62,24.17
24/04/2010 0:00,24.57,24.22
25/04/2010 0:00,24.39,23.96
26/04/2010 0:00,24.95,24.38
27/04/2010 0:00,24.82,24.34
28/04/2010 0:00,25.18,24.68
29/04/2010 0:00,24.99,24.64
30/04/2010 0:00,24.87,24.41
01/05/2010 0:00,24.84,24.24
02/05/2010 0:00,24.78,24.34
03/05/2010 0:00,24.86,24.38
04/05/2010 0:00,24.93,24.49
05/05/2010 0:00,25.01,24.5
06/05/2010 0:00,25.33,24.69
07/05/2010 0:00,25.42,24.67
08/05/2010 0:00,25.76,25.09
09/05/2010 0:00,25.76,25
10/05/2010 0:00,26.27,25.4
11/05/2010 0:00,26.59,25.8
12/05/2010 0:00,26.08,25.34
13/05/2010 0:00,26.53,25.83
14/05/2010 0:00,26.29,25.64
15/05/2010 0:00,26.16,25.66
16/05/2010 0:00,26.1,25.59
17/05/2010 0:00,26.83,26.21
18/05/2010 0:00,26.76,25.99
19/05/2010 0:00,26.23,25.6
20/05/2010 0:00,26.05,25.4
21/05/2010 0:00,25.95,25.32
22/05/2010 0:00,26.12,25.56
23/05/2010 0:00,26.22,25.6
24/05/2010 0:00,26.25,25.55
25/05/2010 0:00,26.24,25.6
26/05/2010 0:00,26.63,25.99
27/05/2010 0:00,26.78,26.06
28/05/2010 0:00,27.06,26.31
29/05/2010 0:00,27.19,26.52
30/05/2010 0:00,27.23,26.51
31/05/2010 0:00,27.21,26.57
01/06/2010 0:00,27.42,26.78
02/06/2010 0:00,27.88,27.14
03/06/2010 0:00,27.97,27.21
04/06/2010 0:00,27.86,26.99
05/06/2010 0:00,27.72,26.98
06/06/2010 0:00,27.55,26.77
07/06/2010 0:00,27.75,27.11
08/06/2010 0:00,27.72,27.01
09/06/2010 0:00,27.69,26.9
10/06/2010 0:00,27.59,26.99
11/06/2010 0:00,27.59,27.19
12/06/2010 0:00,28.32,27.81
13/06/2010 0:00,28.5,27.98
14/06/2010 0:00,28.21,27.49
15/06/2010 0:00,28.3,27.52
16/06/2010 0:00,28.46,27.72
17/06/2010 0:00,28.8,28
18/06/2010 0:00,29.34,28.31
19/06/2010 0:00,29.02,28.33
20/06/2010 0:00,28.83,28.16
21/06/2010 0:00,28.73,28.18
22/06/2010 0:00,29.05,28.51
23/06/2010 0:00,29.32,28.79
24/06/2010 0:00,29.06,28.47
25/06/2010 0:00,28.71,28.3
26/06/2010 0:00,28.61,28.09
27/06/2010 0:00,28.53,27.87
28/06/2010 0:00,28.41,27.65
29/06/2010 0:00,28.72,27.89
30/06/2010 0:00,28.97,28.25
01/07/2010 0:00,28.84,28.09
02/07/2010 0:00,28.82,28.07
03/07/2010 0:00,29,28.2
04/07/2010 0:00,29.2,28.4
05/07/2010 0:00,29.49,28.95
06/07/2010 0:00,29.36,28.93
07/07/2010 0:00,29.18,28.38
08/07/2010 0:00,29.31,28.78
09/07/2010 0:00,29.26,28.75
10/07/2010 0:00,29.51,28.94
11/07/2010 0:00,29.55,29.09
12/07/2010 0:00,29.65,29.16
13/07/2010 0:00,29.71,29
14/07/2010 0:00,29.67,28.98
15/07/2010 0:00,29.79,29.11
16/07/2010 0:00,29.79,29.1
17/07/2010 0:00,29.9,29.22
18/07/2010 0:00,29.86,29.19
19/07/2010 0:00,29.79,29.12
20/07/2010 0:00,29.88,29.21
21/07/2010 0:00,29.85,29.18
22/07/2010 0:00,29.94,29.26
23/07/2010 0:00,29.92,29.23
24/07/2010 0:00,29.95,29.32
25/07/2010 0:00,30.04,29.36
26/07/2010 0:00,30.04,29.38
27/07/2010 0:00,29.99,29.39
28/07/2010 0:00,29.92,29.32
29/07/2010 0:00,29.86,29.23
30/07/2010 0:00,29.9,29.28
31/07/2010 0:00,30.49,29.8
01/08/2010 0:00,30.8,30.06
02/08/2010 0:00,30.91,30.06
03/08/2010 0:00,30.74,29.85
04/08/2010 0:00,30.68,29.85
05/08/2010 0:00,30.48,29.68
06/08/2010 0:00,30.23,29.61
07/08/2010 0:00,30.68,29.94
08/08/2010 0:00,30.7,29.93
09/08/2010 0:00,30.42,29.75
10/08/2010 0:00,30.39,29.83
11/08/2010 0:00,30.46,30.01
12/08/2010 0:00,30.61,29.86
13/08/2010 0:00,30.58,29.82
14/08/2010 0:00,30.45,29.7
15/08/2010 0:00,30.66,29.99
16/08/2010 0:00,30.77,30.08
17/08/2010 0:00,31.01,30.39
18/08/2010 0:00,30.97,30.23
19/08/2010 0:00,31.09,30.38
20/08/2010 0:00,31.46,30.77
21/08/2010 0:00,31.37,30.74
22/08/2010 0:00,30.92,30.38
23/08/2010 0:00,30.79,30.19
24/08/2010 0:00,31,30.43
25/08/2010 0:00,31.03,30.49
26/08/2010 0:00,30.75,30.2
27/08/2010 0:00,30.57,29.79
28/08/2010 0:00,30.91,30.24
29/08/2010 0:00,30.79,30.16
30/08/2010 0:00,30.55,29.77
31/08/2010 0:00,30.33,29.54
01/09/2010 0:00,30.23,29.44
02/09/2010 0:00,30.19,29.4
03/09/2010 0:00,30.02,29.27
04/09/2010 0:00,29.8,29.14
05/09/2010 0:00,30.05,29.32
06/09/2010 0:00,30.04,29.33
07/09/2010 0:00,30.43,29.74
08/09/2010 0:00,30.26,29.61
09/09/2010 0:00,29.78,29.19
